[05-Jul-2021 22:15:02 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\init.php on line 11
[05-Jul-2021 22:15:02 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\init.php on line 11
[05-Jul-2021 22:15:12 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\init.php on line 11
[05-Jul-2021 22:15:13 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\init.php on line 11
[05-Jul-2021 22:15:14 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\init.php on line 11
[05-Jul-2021 22:15:14 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\init.php on line 11
[05-Jul-2021 22:15:31 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\init.php on line 11
[05-Jul-2021 22:15:31 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\init.php on line 11
[05-Jul-2021 22:15:31 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\index.php on line 56
[05-Jul-2021 23:48:22 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\init.php on line 11
[05-Jul-2021 23:48:22 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\index.php on line 56
[05-Jul-2021 23:48:28 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\init.php on line 11
[05-Jul-2021 23:48:28 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\index.php on line 56
[05-Jul-2021 23:56:44 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\init.php on line 11
[05-Jul-2021 23:56:44 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\index.php on line 56
